protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,149.154.175.50,
2048,10:a5:d0:20:30:d8,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
2054,08:00:27:2c:4d:4c,ff:ff:ff:ff:ff:ff,172.50.0.1,172.50.1.184,1
2054,84:2e:27:fe:41:a1,ff:ff:ff:ff:ff:ff,172.50.2.168,172.50.0.5,1
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,149.154.175.50,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,149.154.175.50,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,149.154.175.50,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,149.154.175.50,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,185.94.84.134,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,185.94.84.134,
2054,74:46:a0:99:31:92,ff:ff:ff:ff:ff:ff,172.50.0.5,172.50.2.168,1
2054,a4:db:30:32:17:fc,ff:ff:ff:ff:ff:ff,172.50.0.192,172.50.0.1,1
2054,7c:c7:09:08:a9:95,ff:ff:ff:ff:ff:ff,172.50.0.89,172.50.0.1,1
2048,e8:50:8b:d4:42:89,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
34525,cc:29:f5:48:c4:dd,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,185.94.84.134,
2054,24:4b:03:cc:d9:11,ff:ff:ff:ff:ff:ff,172.50.3.243,172.50.0.1,1
2048,a8:0c:0d:d4:f5:70,ff:ff:ff:ff:ff:ff,172.50.0.35,172.50.3.255,
2048,a8:0c:0d:d4:f5:68,ff:ff:ff:ff:ff:ff,172.50.0.25,172.50.3.255,
2048,a8:0c:0d:d4:89:20,ff:ff:ff:ff:ff:ff,172.50.0.33,172.50.3.255,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,185.94.84.134,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,185.94.84.134,
2054,24:4b:03:d1:b0:8b,ff:ff:ff:ff:ff:ff,172.50.0.180,172.50.0.1,1
-1,a8:0c:0d:d4:fc:00,01:80:c2:00:00:00,,,
2054,00:27:13:fa:51:ee,ff:ff:ff:ff:ff:ff,172.50.3.216,172.50.0.1,1
2054,a4:db:30:32:17:fc,ff:ff:ff:ff:ff:ff,172.50.0.192,172.50.0.1,1
2054,7c:c7:09:08:a9:95,ff:ff:ff:ff:ff:ff,172.50.0.89,172.50.0.1,1
2048,10:a5:d0:20:30:d8,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
2048,a8:0c:0d:d4:fb:98,ff:ff:ff:ff:ff:ff,172.50.0.26,172.50.3.255,
-1,00:24:c4:08:e3:af,01:00:0c:cc:cc:cd,,,
2048,24:4b:03:d1:b0:8b,01:00:5e:00:00:07,172.50.0.180,224.0.0.7,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,192.230.65.4,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,185.94.85.101,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,172.50.0.1,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,172.50.0.1,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,209.225.49.115,
2054,74:46:a0:99:31:92,ff:ff:ff:ff:ff:ff,172.50.0.5,172.50.1.216,1
34525,38:f2:3e:85:68:60,33:33:00:01:00:02,,,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,192.230.65.4,172.50.0.218,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,209.225.49.115,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,209.225.49.115,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,209.225.49.115,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,209.225.49.115,
2048,a8:0c:0d:d4:fb:c8,ff:ff:ff:ff:ff:ff,172.50.0.27,172.50.3.255,
2054,10:a5:d0:20:30:d8,ff:ff:ff:ff:ff:ff,172.50.1.184,172.50.0.1,1
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,185.94.85.101,172.50.0.218,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,209.225.49.115,172.50.0.218,
2048,b8:38:61:2c:67:0c,ff:ff:ff:ff:ff:ff,172.50.0.18,172.50.3.255,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,185.94.84.134,172.50.0.218,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,185.94.84.134,
2048,24:4b:03:d1:b0:8b,ff:ff:ff:ff:ff:ff,172.50.0.180,172.50.3.255,
2054,7c:c7:09:08:a9:95,ff:ff:ff:ff:ff:ff,172.50.0.89,172.50.0.1,1
34605,e8:91:20:83:24:c5,01:40:96:ff:ff:00,,,
34525,40:e2:30:87:a5:61,33:33:00:01:00:02,,,
34605,94:71:ac:76:ea:f8,01:40:96:ff:ff:00,,,
2054,24:4b:03:cc:d9:11,ff:ff:ff:ff:ff:ff,172.50.3.243,172.50.0.1,1
34525,e8:91:20:83:24:c5,33:33:00:00:00:16,,,
2048,d0:a6:37:e4:d2:50,08:00:27:2c:4d:4c,172.50.0.218,185.94.84.134,
34525,e8:91:20:83:24:c5,33:33:ff:83:24:c5,,,
34525,94:71:ac:76:ea:f8,33:33:00:00:00:16,,,
2054,40:e2:30:87:a5:61,ff:ff:ff:ff:ff:ff,172.50.2.247,172.50.0.1,1
2054,24:4b:03:d1:b0:8b,ff:ff:ff:ff:ff:ff,172.50.0.180,172.50.0.1,1
-1,a8:0c:0d:d4:fc:00,01:80:c2:00:00:00,,,
2054,a4:db:30:32:17:fc,ff:ff:ff:ff:ff:ff,172.50.0.192,172.50.0.1,1
2048,a8:0c:0d:d4:f5:a8,ff:ff:ff:ff:ff:ff,172.50.0.23,172.50.3.255,
2048,08:00:27:2c:4d:4c,d0:a6:37:e4:d2:50,185.94.84.134,172.50.0.218,
2048,a8:0c:0d:d4:f5:28,ff:ff:ff:ff:ff:ff,172.50.0.41,172.50.3.255,
2048,a8:0c:0d:d4:f9:80,ff:ff:ff:ff:ff:ff,172.50.0.29,172.50.3.255,
2054,e8:50:8b:d4:42:89,ff:ff:ff:ff:ff:ff,172.50.1.78,172.50.0.1,1
2048,e8:91:20:83:24:c5,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
2054,7c:c7:09:08:a9:95,ff:ff:ff:ff:ff:ff,172.50.0.89,172.50.0.1,1
2048,28:c2:dd:89:72:7b,ff:ff:ff:ff:ff:ff,172.50.3.0,172.50.3.255,
